header,review,rating,name,location,date
i’m having a great time using this app…,"i’m having a great time using this app and so are my children! i’ve not had any issues at all. it’s very customizable and i just love everything about it. no strings attached and straight forward, i 100% recommend",5,Aubrey Gillean,United States,2024-07-04
I got this card for my Daughter to have…,I got this card for my Daughter to have spending money. I love the fact that I can deposit money into her account with in seconds!! Pluse I’m able to lock her card for added Security!,5,Michael Rodriguez,United States,2024-07-10
My kids are doing their chores and so…,My kids are doing their chores and so excited to watch the videos. They like having their own personal card at stores and are actually saving vs with cash. Love it! ,5,Stephanie Swanson,United States,2024-07-12
Perfect for Grandkids,My granddaughter loves using the app and is learning how to save her money for something that she really wants. I urge all grandparents to get this for their pre teen grandchildren,5,Kimberly Murray,United States,2024-06-23
Wonderful,"Simply grea! Excellent way to teach kids frugality and savings early enough. User friendly app and my son loves the confidence of having control over his money with parental oversight. Finally, the card helped me the parent. ",5,Zakari Aliyu,United States,2024-05-11
Great education tool ,This app has been great to teachour daughter the value of money and responsibility of managing money and keeping up with her card ,5,Sabrina,United States,2024-07-13
This has been an amazing tool,This has been an amazing tool. I got this for my son for a way to track his chores and see what he was earning his allowance for. The added benefit is other family member can easily transfer money to him for special occasions or just because. ,5,Heather Proctor,United States,2024-05-18
I love it 😀 my offspring loves it…,I love it 😀 my offspring loves it too... it makes her feel like a responsible adult and makes her behave.,5,Mindful Mary,United States,2024-08-06
It has been a great experience having this card for my daughter and I…,It has been a great experience having this CC for my daughter. She has learned so much on what it takes to save and keeping her account on a healthy level of available money. ,5,Victor Aguilar,United States,2024-06-22
Great Card for my son,Overall! No downside from this company.I have had it for 4+ years and I love it.The availability to transfer money from my bank account and into my son’s card is incredible fast. We had a few overcharges and it’s been taking care of it immediately with no hesitation contacting them.All transactions are detailed and easy to manage.Once again I love it.. You will not get disappointed.G.G.,5,Gimara,United States,2024-05-15
This app is literally the best app I’ve…,This app is literally the best app I’ve ever gotten for my daughter. She completes all her tours and she’s just about to get paid tomorrow. This teaches her and she loves doing all her chores now which is I can get her to do before I downloaded this app that’s why you should download GoHenry today.,5,Consumer,United States,2024-05-01
customer service ,I had a problem with referral code and some activation issues and the company reached out to me and corrected it right away. I really appreciatedthe customer service and wanting to please the customer. ,5,C Rusnak,United States,2024-07-24
I cancel my account,"I cancel my account, don't won't no reviews, or anything with go Henry had a hard time to use my grandson card, always retrieve wrong pin it was a headache. I just wanted the money that was on my grandson card to be put back on card money came from.",1,customer,United States,2024-07-17
Love this app love the lessons and the…,Love this app love the lessons and the customizability. Wish we could set the date of pay for allowance a d customize the allowance part a little more. But this is a great app and I have suggested it to several other moms. ,4,Cody Kilgore,United States,2024-06-27
I love this app it's a good way for me…,I love this app it's a good way for me to send money to my grandkids when they come over to my house to do something for my husband and I like mowing the lawn clean window clean the Garage for them to earn money Thank you Betty Ferre ,5,Betty Ferre,United States,2024-06-23
GoHenry got my vote in a head to head comparison ,"Signed up at same time I tried a competitor. GoHenry was seamless and painless, whereas I had to make 3 phone calls and numerous emails to the other company. Product works. No issues. My son loves it and is learning about finances at the same time. ",5,D.P.,United States,2024-06-03
It’s like your kids have a checking and savings accounts.. You can pay them for chores or whatever else and plus you can set an amount you want to pay them weekly. ,"It’s like your kids have a checking and savings accounts.. You can pay them for chores or whatever else and plus you can set an amount you want to pay them weekly. The app is just awesome, plus you can add coparents to it and they can send money to your children, it’s just amazing all together! ",5,Jasmine Clark,United States,2024-05-19
Great card for kids ,Fast customer service great card fir teens teach money skills highly recommended for kids on learning importance of financial freedom ,5,Kenya m,United States,2024-07-30
Good App/ Kid loves,I don’t like how they just take money from my account with no head up. Has put me in some tough situations. Update: Go Henry replied to my review letting me know why I had had some charges. I had actually already figured out the problem and fixed it prior to the response which they also noted. I appreciate them not only reaching out but also being very thorough in their response!,5,Angelica Coleman,United States,2024-03-30
Teaching responsible spending,The freedom that it gives my grandson to manage his money is amazing. I get to control how much he has access to. The task and tutorials all help him to be more responsible with his money. ,5,velisha ross,United States,2024-06-21
GoHenry is for Teaching financial skills,GoHenry is easy to use. I never have any issues with the app. It’s always running properly. I’m always able to transfer the money with no problem and send it to my daughter and I love the parental controls.,5,Nadia Lightbourne,United States,2024-06-07
Payments and Savings are Simple!,GoHenry makes it simple to pay my son his allowance each week. It teaches him how to save and spend responsibly. He loves having a debit card with his name and favorite animal on it. The cost is well worth it!,5,Michelle Masayon,United States,2024-05-29
Excellent app for the kiddo,"Excellent app for the kiddo. She’s learning Monday skills, building her savings and earning interest. At 11 years old, she knows more about managing finances than many adults I know. ",5,Taylor Mahrer,United States,2024-04-29
Excited ,So so good so much to do on app I can’t wait to get cards and my kids start Earning money and being able to use when they are out with family and friends,5,k Qtpi,United States,2024-05-29
We need a way to pay our kids without a task etc,"It’s not user friendly and I’mnot liking the no instant transfer. Not everything needs to be a chore or task. Sometimes life is fast and while having all the education and tasks are great, in a hurry if I need to send my daughter $10 for food I just want to do it and be done ",3,Felicia Lapp,United States,2024-07-21
Go Henry has changed how my son sees money,Go Henry has changed how me and my son see money. He is learning to save and only spend on what he could really use.The cards also come in handy when a quick purchase comes up and I want it separate from the house bills and costs ie baseball cleats helmet books outings.Go Henry is a great way to reward as well.I truly love knowing my kids are learning the value of a buck. ,5,Joanna Brown,United States,2024-05-23
Excellent app,Excellent app. My daughter is doing great with her responsibilities chart. She enjoys theincentive of her weekly allowance. She’s also learning the concept of money and learning how to save her money. ,5,Suzy Jems,United States,2024-04-24
the glitches sealed the deal,"I like the service the app provides but I’m giving a low rating because there’s way too many glitches, I can’t even verify my email . I also can’t seem to contact anyone about receiving my child’s custom cards either. They were tracked to arrive 6/11/24 never showed and there’s no tracking information, where it previously said “will be with you by end of day” it now says nothing but activate card",2,Kaycee Owens,United States,2024-06-15
Independent child,The app is easy to access and all the information that you need to know about the app is easy to find and very helpful. Me and my daughter are enjoying the ease of GoHenry and all that it brings and helps her to be independent. ,5,JDS,United States,2024-04-24
Financial Services ,Extremely helpful in teaching my daughter how to manage her finances.,5,Sean Thomas,United States,2024-07-31
Great learning tool for all ages and very straight forward ,Great learning tool for all ages. I really enjoyed doing the missions where you learn about money and how you use it wisely. It’s also very straight forward for how you log in 5/5,5,Rylan Albion,United States,2024-07-11
I really appreciate the lessons that…,"I really appreciate the lessons that are included for extra pay.Such a clever idea, and awesome way to incentivize the kids to learn.",5,Rose B,United States,2024-06-13
I love Go Henry,I love Go Henry. My only complaint is The add a Co-Parent step is difficult to do if you are using the service already. I signed my 12 year old first then I wanted to be a co parent for my daughter but you have to sign out and so on it too many steps.,4,Nishan Cherry,United States,2024-06-04
So I lost my card and i couldn’t find…,So I lost my card and i couldn’t find it so we decided to order a new one and when we did it was supposed to come last week and then when i checked yesterday it says it was coming yesterday but it’s still not here,1,mekai,United States,2024-07-27
I love this app,"I love this app called GO Henry. The cards for kids say ""Go _your kids name__"".... I am able to feel connected to them by assigning and rewarding them and saving money for them and someday they will get to reunite with me but in the mean time this app is my connection to them without any real interaction since that's not allowed since after their father died and I fell down a bad path and they got taken and adopted. I'm sorry I'm not able to use this app the way it is intended but it's my way of copingKinda like therapy..so thank you. I love the different styles of cards (thx mr.beast) and how the app gives my kids an allowance and they get rewards and levels up for learning in the app. I hope one day they can actually do all these things but for now it's all I got aside from Acorn app ",5,Brittani Werther,United States,2024-03-31
Amazing app,i have a kid who’s behavior is horrendous and thanks to him being able to see how much hes making through the app he has gotten better ,5,Tabatha Hackle,United States,2024-05-25
Love this app,Love this app. And my kids LOVE it more. My house looks clean every day. My kids enjoy saving and earning money. 10/10 recommend. ,5,Susie Kim,United States,2024-07-21
This app give us so many clear options…,"This app give us so many clear options to teach our kids about money, while giving them the best experience in fiscal responsibility. ",5,Walter Levert,United States,2024-06-15
LOVE LOVE LOVE 💕 ,I absolutely love this app. It teaches me how to be responsible with money saving and it helps me with my money management. I think this is an excellent app for teens and even young adults.,5,Rhe C.,United States,2024-04-19
Terrible customer service and delay,"I established an account for my son in January 2024; we are in June 2024, and I'm still waiting for the debit card; I contacted customer service 4 times, but they always have a BS excuse.5 months and no card, 12 years old is for sure saving money! ",1,Coach T,United States,2024-06-14
User friendly & great for kids!,Customer service has been helpful as needed. The app and learning/task options are an added bonus. Loving this for my 10 year old. ,5,Fawn Julsaint,United States,2024-04-02
I love this app it encourages my kids…,"I love this app it encourages my kids to do their homework, chores etc and it helps them learn how to manage money and also save their money ",5,Charline Pericles,United States,2024-03-30
Good habits!,"My son spends carefully and strategizes frequently on how to earn. I attribute his good money habits largely to his having had a GoHenry card for the last four years, from age 11 to 14. The good habits will probably stay with him for life. ",5,JH,United States,2024-04-12
HORRIBLE EXPERIANCE!!!!!,HORRIBLE EXPERIANCE!!!!!! went through the whole process of setting up an account. Had to enter all my information including SOCIAL SECURITY number. All of my kids information was also required. All that just so that customer service could tell me that it is better to just close down my account. I ONLY have a PO Box for mail and where I live there is 0 mail delivered to physical address due to dirt roads. They said they could not send my kids debit cards to my PO Box so that I was better off just closing my account. WORST part of all is that they have now collected all mine and my kids information which is the ONLY thing they care about so they had no reason to help me any further.,1,Eriberto Ramirez,United States,2024-05-31
HORRIBLE customer service,"HORRIBLE customer service! My child's card was supposed to arrive on the scheduled day. It didn't, no problem I'll call. Phones are closed for THREE business days! Email response 3-5 business days. For a LOST CARD! This is my first and LAST experience with them. ZERO response. I have reported them to BBB. AWFUL.",1,April Flynn,United States,2024-06-13
Very user friendly app,The app is very user friendly.I am able to navigate it easily and my teen is also able to manage her account easily.Its been a helpful tool for us and we are enjoying it.,5,Heather Mutchler,United States,2024-04-27
Great tool for helping my daughter…,Great tool for helping my daughter manage her money and learn about financial literacy.,5,Rozialyn Burison,United States,2024-07-04
Worst Experience - Lost card/wouldn’t refund my money,Custom card that I paid $5 for never came. The agents were not helpful in they just gave old me to keep waiting. I had to actively ask for a refund as well as a free card. I have $125 loaded into the inactivated card and they would not give it back to me. I have to go and email and send bank information over email. It’s very inconvenient and suspicious. Not a good experience AT ALL. ,1,Gabriella,United States,2024-06-11
Kids are loving it,Kids are loving wanting extra chores and they can buy online gifts on there own. ,5,Carol Ann,United States,2024-06-13
It’s almost perfect but it’s little…,It’s almost perfect but it’s little difficult to track where cards are cause no tracking number I have to call customer service to see about replacing the ones that didn’t show up. ,4,Kimberly Fields,United States,2024-05-20
I love this app makes paying my kids…,I love this app makes paying my kids easier and it’s a great way for them to learn to control their finances,5,Lemuspn,United States,2024-05-24
Card isn't flexible for kids 16 and older.,"The card for my driving age teens isn't very flexible. They go more places and often at restaurants, convenience stores the card doesn't work. A month before the card expired I couldn't use it because another had been issued. So it was nearly a full month we had no use of the card. It's a good idea but just doesn'twork for children 16 years or older.",3,customer,United States,2024-05-06
Great app,Used to use Copper before they shut down the deposit accounts. I wish I switched earlier. This app is great and so user friendly. ,5,SaNni Lemonidis,United States,2024-06-11
Better programs out there.,Better programs out there. Sent reply to gohenry on why I thought gohenry was a waste. One star was as low as I could go. No incentive to be a gohenry member. Go look for something better that provides some incentive. Greenlight is another program out there. ,1,customer,United States,2024-05-06
GoHenry,"I love being able to manage my own money, it gives me a good sense of responsibility, and what a great way to learn about financial literacy,",5,Duffy Dunton,United States,2024-05-09
Just a con,Just a con. They charge you for moving money. They reset settings from manual to auto. They took 30 pounds by resetting the settings to auto. This automatically topped up my daughter's card when short of funds when making a purchase teaching them absolutely nothing. Then had the cheek to charge me 5 pounds to close the account. I recommend waiting till your children are 11 years old and get them a proper account with no monthly fees.,1,Dexydog ,United Kingdom,2024-03-23
My son is loving it he had it before…,My son is loving it he had it before and I canceled and bugged me until I got it again ,5,SHAWNA FAULKNER,United States,2024-06-19
Best app for money management for kids! ,Makes chores and paying kids easy. Love the lessons and ability to incentivize them to learn. Love love this app! ,5,Meighan Richard,United States,2024-06-30
DO NOT UNDER ANY CIRCUMTANCE  use this…,DO NOT UNDER ANY CIRCUMTANCEuse this company they are not from the US for one and for two they steal from you and your kids accounts. I EMAILED THEM FOR MONTHS TO REFUND THE MONEY AND CLOSE THE ACCOUNT BUT NO RESPONSE UNTIL THEY CHARGED A CARD ILLEGALLY.I recommend GREENLIGHT WAY BETTERMy information was provided before to your agents and they were not helpful. Don't recommend to anyone I will be filing with my attorney. ,1,mandi pendergraff,United States,2024-03-20
I have been trying for days to activate…,I have been trying for days to activate my kids cards and it keeps saying error. I tried to contact via email and that's been a joke. I have read so many terrible reviews that I am ready to go to my bank and have it so they dont continue to be able to take monthly fees for something that clearly is a scam.,1,Kathryn Hintz,United States,2024-04-12
have not yet figured out how to get the…,have not yet figured out how to get the apps on the kids phones where they don’t see they other 3 kids accounts and balances.,4,Laura Fischer,United States,2024-05-09
The website is easy to maneuver and has…,The website is easy to maneuver and has all the bells and whistles to make it smooth running. ,5,Lucinda Anguay,United States,2024-06-29
Financial Literacy ,I absolutely love the videos & quizzes that the children can watch & earn money for!!! ,5,Princess Smith,United States,2024-06-30
My kids love the debit cards to spend…,My kids love the debit cards to spend their chore money! It’s the easiest way to keep track of my kids spending and help them learn the value of money ,5,Kristin Fields,United States,2024-06-12
This is the best thing ever!!,This is the best thing ever!!! It’s perfect for my son to be able to start understanding how to use money with a debit card and everything that comes along with that!,5,chelsea andreas,United States,2024-04-16
This such a cool debit card to teach…,This is a cool debit card to teach your children responsibility and Learn how not only too budget but earn there money by doing simple tasks I love all features it has to teach the kids to do the right thing as far responsibility learning how to save and earn there allowance great way highly recommend ,5,Marie,United States,2024-06-24
App has been super easy to use and the…,App has been super easy to use and the kids love the learning videos. They are excited to do their chores and earn money. ,5,Vicki Heide,United States,2024-06-27
Good for teaching kids about earning,"Good for teaching kids about earning, saving, spending and being responsible with money! Great app for kids",4,KRISTINA ESPARZA,United States,2024-04-25
This app has helped my grandkids learn…,This app has helped my grandkids learn how to save money and then buy big purchases they want.,5,Tracy Britton,United States,2024-07-07
Highly disappointed,Highly disappointed. Closed my accounts and still have not gotten the refund. The card is great for kids that are older but customer service is VERY inconvenient. Called and tried to chat but no one is available.Guess they think you will forget about your money.,1,STACY,United States,2024-04-17
I love my card 💝💝💝,I wanted to be able to carry around money but I didn’t have a wallet and I did t wanna carry a wallet around. So I asked my mom for a card! She said yes and got me this. Pink is pink swirls. I love it!,5,Sunny,United States,2024-07-06
My mom can add money to my account…,My mom can add money to my account whenever I need it. We have better control over allowance to,5,Katelynn Bernardi,United States,2024-04-21
Card info stolen. No help. Money stolen. ,"I have been using go Henry with my three daughters for a number of years now. My oldest daughters account had 3 in authorized charges on it and we notified go Henry within 10 business days. $100 in total. I cancelled the card, reissued a new one etc. I emailed their customer service like it says to in cases like this. I never received a response. I reached out again and they asked for me to detail which charges, again, and I did. A week later they asked if I reached out to the company’s that ran the card and I said that I hadn’t. From what I could tell from online It was a clothing store on the east coast (we live in CA). Their phone number doesn’t work and they won’t return my emails. Shocker. A week later I get a response that they won’t be reissuing the fraudulent funds to my daughters account, they require that card users notify them with 48 hours of any suspicious activity. This policy is intentionally unreasonable and plainly unacceptable. Making my way togreen light now. ",1,Ian Christie,United States,2024-05-30
My daughter is very engaged with this…,My daughter is very engaged with this and she has really started evaluating her spending before buying things. ,5,Tressa Hills,United States,2024-05-03
I love it,I love it! It gives my kids a sense of responsibility and teaching them that you have to work for things you want.,5,Khrystal P,United States,2024-06-01
good way to teach kids about money ,"I think it's a good why to teach kids about money money, especially with the lessons ",5,Amerie Hopson,United States,2024-06-17
It’s really good but right now I’m…,It’s really good but right now I’m having a lot of trouble. Normally I don’t have any trouble at all.,5,Rachel Berry,United States,2024-07-03
I like the fact that it’s parental…,"I like the fact that it’s parental control, and it is very easy to navigate through the process. ",5,Shakila Harper,United States,2024-03-30
The main thing that I greatly dislike…,The main thing that I greatly dislike is NOT BEING ABLE TO ACCESS MY ACCOUNT ON THE COMPUTER!I have a hard time seeing things on my phone and it makes it very difficult.You need to return computer access!,3,Linda Clark,United States,2024-05-03
Really great product for my 9 year old,"Really great product for my 9 year old.He is excited about it and engaged in learning about money savings, etc. ",5,David,United States,2024-05-06
Just started using the app so far so…,Just started using the app so far so good 4 stars to an easy to use and very understandable. ,4,Matheo Bocanegra,United States,2024-04-30
Not compatible with all banks and its not accepted everywhere ,"It has been difficult to set it up with my bank (webster) to move money into the child account and after receiving the gohenry card I activated it and wrote down the pin, and the first time my daughter excitedly tried to use it, it was declined and there was money in her account, the pin was correct and the transactions were enabled. Even the store employees couldn't tell why it was being declined,besides the fact the it's a Mastercard and it may not be accepted in certain places. I gave it two stars because my daughter really enjoys the mini games and it does teach her about money which is really nice but the debit card function is a big let down",2,Joe Barbera,United States,2024-05-24
POOR CUSTOMER SERVICE EXPERIENCE WHEN CLOSING ACCOUNT,"EDITED: WITHIN HOURS OF POSTING THIS REVIEW, A SUPERVISOR HAD CONTACTED ME TO SAY THAT THEIR AGENTS SHOULD HAVE PROVIDED OTHER OPTIONS TO VERIFY/CORRECT MY BIRTHDAY, AND SHE APOLOGIZED. 12 HOURS AFTER POSTING THIS REVIEW, WE ALSO GOT OUR MONEY BACK. I will change the stars from 1 to 3 since we did get our refund, and an apology, but no customer should have to face what we did in an effort to get their funds back. I also think that GoHenry needs to add an option for simply transferring your child's funds to a bank account when too much has accumulated in the child account. The only option should not be to send the money to the parent GoHenry account, and wait for it to slowly be used up through allowance payment (another reason for 3 stars).We used GoHenry for my daughter's spending for nearly 5 years. I was always frustrated by the difficulty in sending excess funds back to my bank account (you can't do it). It can only be sent back to the parent account. Total pain. But... my primary issue is that once we cancelled her account to switch to a normal bank account, we have not received a refund of her $400+. I have tried emailing, chatting, and calling. All of the methods are telling me that my parent birthdate on file is inaccurate (the first I had heard of this), so they refuse to disclose account information with me. Even IF there was some mis-matched info when originally setting up my account, no one there will take the time to help me fix it, and correct the info. Because they claim the info is wrong, they won't speak to me about our missing money, and haven't sent it back. This is infuriating. It seems like this is some back-end scam to not return funds to cancelling customers. I will not stop trying to get our money, but am not sure what else to do. ",3,Jessica Schmelzle,United States,2024-07-06
It has been easy to manage my daughters…,It has been easy to manage my daughters account ,5,Iliana Sandoval,United States,2024-07-03
It’s not easy to quickly navigate to…,It’s not easy to quickly navigate to view tasks completed. Still confused on use and learning ,3,Felicia Lapp,United States,2024-07-09
Amazing banking,"Amazing banking, and way too easy too use. Would definitely recommend👍",5,Yaboy,United States,2024-05-31
easy to use,"so far, it seems to be really easy to use and all the kids like it very well, helps them get their chores done",5,customer,United States,2024-05-30
 managing Money,Great for teaching kids about managing money.,5,Terry Ryan,United States,2024-07-18
What a great way to learn about…,What a great way to learn about banking. I wish they had lessons on credit . But great over all 10 out of 10 ,5,Mandy,United States,2024-06-29
Great experience,Excellent customer service and easy to use app. I especially like the new pokemon cards,5,Rocky Huerta,United States,2024-04-14
My daughter loves this app,My daughter loves this app! It is the best way to teach financial literacy ,5,Lois Bourne,United States,2024-04-13
Just search “Acorns Trustpilot” on Google & that’s all you need to know,All of Acorns investing solutions/platforms just take your money and never let you withdrawal any of your earnings. Stay away,1,Zach Wade,United States,2024-03-24
I like using this tool to teach my…,I like using this tool to teach my child about financial literacy ,5,Marquita Scott,United States,2024-04-12
Easy to use user friendly,Easy to use. Easy to navigate. Convenient ,5,JEANETTE GOINS,United States,2024-07-17
Terrible financial solution for kids cloaked as education,"We chose to setup GoHenry when it was acquired by Acorns because it was included in our Acorns plan. This is the first and last time I sign up for something without doing my own research, we've had the worst experience with GoHenry - from delays to getting the card, the auto-transfers not working as expected, limited control over the funds, not being able to connect a savings account to transfer money out of, and a terrible process to close the account. If I can sign up online, I should be able to close the account just as easily - not email support, get no response for over a week, and then find out it was closed while my daughter is at the store trying to make a purchase. We couldn't log in via the app or online, but we had no notification as to what would happen to the funds. Eventually the funds were transferred back to my checking account, but we had no way to verify it was the correct amount because our access was removed without warning. The learning videos were really well done and my daughter learned a lot, but there are a lot of flaws with their offering. Not only do parents pay a monthly subscription for the account, all interest is parent-paid, so GoHenry is holding funds yet isn't a bank that pays interest. Kids need to learn how a REAL bank works, if I'm just going to be the one paying the interest I'm definitely not going to pay a fee to do so. The customer support is terrible/non-existent and when it's supposed to be teaching kids financial responsibility, they're constantly promoting featured cards to have kids ask their parents about getting the latest design - why would you want to teach a kid to pay $5 to buy a new debit card when the card they have does the same job? This is TERRIBLE financial education in practice, you're setting them up for bad habits and wanting the ""latest"" design. NO THANK YOU!! If you want to teach your kids about finances, go to the local bank, ask about a child's savings account, and give them real dollars to save/spend.",1,Jennifer Nixon,United States,2024-07-13
Super easy to use I love how simple and…,Super easy to use I love how simple and fast it is to add money to my baby’s account!,5,Where Beauty Begins Cosmetics,United States,2024-05-22
The only thing I dislike is as a…,The only thing I dislike is as a parent. I think we should be able to make the limit. That could be withdrawn from a savings account. We are saving up for a vacation back home to my home state. And we can't use the money to pay for the things we need to pay in advance. That's a problem. And it should be fixed. It's the parent. It allows it then it should not be an issue that you guys can control...,3,MEGAN WELSON,United States,2024-05-09
very nice app,very nice app. great for kids parents can easilly put in money for kuds and you can even customize your card.,5,Niki Fasarakis,United States,2024-04-30
Great way to financially connect with…,Great way to financially connect with your kids. Easy to use too,5,Fritz Wenzell,United States,2024-06-27
Good app,Sometimes I can’t log in or check off chores but other then that amazing app ,4,Sophia Bortner,Panama,2024-03-25
So far so good,So far 😊 my son is enjoying the app and the card ,5,Julio Lergier,United States,2024-07-16
I like that it gives structure,"I like that it gives structure, very easy to use and I love it. I don’t really like that it have a limit on it but I do understand.",4,Alexus Bandy,United States,2024-04-30
Very easy to use,Very easy to use.Like the limits on spending can set and changed.,5,Consumer,United States,2024-07-14
My son never received his referral…,"My son never received his referral money, and also they took 10 from his account after I put money in his account,so I want recommend GoHenry to anyone else,not a good card company ",1,Juanita Lurks,United States,2024-04-30
Easy to use and my daughter loves the…,Easy to use and my daughter loves the learning modules!,5,Customer,United States,2024-06-06
I was charged for a custom card for my…,I was charged for a custom card for my son and never received it that was like three weeks maybe a month ago.,1,Hannah Lopez,United States,2024-05-30
Easy to use and customer service is top…,Easy to use and customer service is top notch ,5,Jeffrey,United States,2024-06-10
Helping my grandson budget his money,Helping my grandson budget his money ,4,Crystal Cunningham,United States,2024-07-13
Most worst app ever ,Most worst app ever . It doesn't work lol. I can't login in. And so expensive. I spoke the custermer services as well . They are useless. And rude . ,1,Mekhriniso Abdusalomova,United Kingdom,2024-05-22
Customer service is generally poor,"Customer service is generally poor. It’s a bit better. But overall, the product is not great.",2,Jennifer,United States,2024-05-11
It has made the difference in my son…,It has made the difference in my son wanting to do his chores.,5,Amanda Owens,United States,2024-04-02
Go Henry has made my son excited and…,Go Henry has made my son excited and excited and eager to do chores ,5,Debra Guzzi,United States,2024-05-25
So far so good!,"Love the card I got my 7year old , all of a sudden she wants to do chores !",5,Jaime,United States,2024-06-01
Easy to use and a great learning…,Easy to use and a great learning instrument!,5,customer,United States,2024-05-14
Really awesome,,5,Aiden,United States,2024-07-20
Awesome,Awesome. One word. No complaints.,5,Adam,United States,2024-06-16
Didn’t really utilize the card yet,Didn’t really utilize the card yet ,4,customer,United States,2024-07-28
Great experience so far,Great experience so far. And my 9 year old loves it,5,DG,United States,2024-04-03
My granddaughter loves it .,,5,Donna WYNNE,United States,2024-06-11
Amazing ,I just love the app great way to learn how to save money and spend ,5,Colt McKenzie,United States,2024-06-22
The mission tasks for the kids,The mission tasks for the kids. Really helps with their knowledge of the value of money. ,5,customer,United States,2024-04-10
My son is really enjoying the personal…,My son is really enjoying the personal financial lessons being delivered by GoHenry,5,David,United States,2024-05-21
Great way to teach children and young…,Great way to teach children and young adults the value of money. ,5,Jason McBride,United States,2024-05-29
We love this app and how easy it is to…,We love this app and how easy it is to navigate.,5,Lauren Malone,United States,2024-04-07
My daughter went to use her debit card…,My daughter went to use her debit card to buy gas and it did f work. ,1,Greg Koubek,United States,2024-05-28
Easy to use ,The ease of use of the app is great for me and my daughter.,5,Shannon,United States,2024-06-01
